gift_no,donor_id,amount,gift_date,pledge_no
319,431,100,2012-03-08,
320,88,1041.67,2012-03-09,113
321,465,125,2012-03-10,114
322,323,100,2012-03-11,
323,419,541.67,2012-03-13,130
324,528,83.33,2012-03-15,121
325,526,2083.33,2012-03-18,110
326,811,458.33,2012-03-18,111
327,883,125,2012-03-19,131
328,576,416.67,2012-03-21,108
329,255,416.67,2012-03-22,126
330,915,2083.33,2012-03-23,109
331,677,1041.67,2012-03-24,127
332,939,416.67,2012-03-24,133
333,155,1458.33,2012-03-25,118
334,183,458.33,2012-03-27,134
335,67,416.67,2012-03-29,132
336,450,1000,2012-03-31,
337,926,416.67,2012-04-01,119
338,399,375,2012-04-03,122
339,356,333.33,2012-04-05,135
340,459,500,2012-04-06,
341,604,2083.33,2012-04-06,100
342,88,1041.67,2012-04-09,113
343,161,700,2012-04-09,
344,465,125,2012-04-10,114
345,968,700,2012-04-11,
346,106,700,2012-04-12,
347,105,100,2012-04-13,
348,419,541.67,2012-04-13,130
349,427,600,2012-04-15,
350,528,83.33,2012-04-15,121
351,526,2083.33,2012-04-18,110
352,811,458.33,2012-04-18,111
353,883,125,2012-04-19,131
354,509,100,2012-04-21,
355,255,416.67,2012-04-22,126
356,915,2083.33,2012-04-23,109
357,677,1041.67,2012-04-24,127
358,939,416.67,2012-04-24,133
359,155,1458.33,2012-04-25,118
360,116,100,2012-04-26,
361,183,458.33,2012-04-27,134
362,444,800,2012-04-27,
363,67,416.67,2012-04-29,132
364,73,300,2012-04-29,
365,16,500,2012-04-30,
366,926,416.67,2012-05-01,119
367,399,375,2012-05-03,122
368,356,333.33,2012-05-05,135
369,604,2083.33,2012-05-06,100
370,905,400,2012-05-07,
371,88,1041.67,2012-05-09,113
372,465,125,2012-05-10,114
373,809,200,2012-05-10,
374,419,541.67,2012-05-13,130
375,528,83.33,2012-05-15,121
376,526,2083.33,2012-05-18,110
377,883,125,2012-05-19,131
378,408,400,2012-05-21,
379,255,416.67,2012-05-22,126
380,245,2000,2012-05-23,
381,544,291.67,2012-05-23,136
382,915,2083.33,2012-05-23,109
383,677,1041.67,2012-05-24,127
384,939,416.67,2012-05-24,133
385,155,1458.33,2012-05-25,118
386,183,458.33,2012-05-27,134
387,67,416.67,2012-05-29,132
388,76,300,2012-05-30,137
389,728,83.33,2012-05-30,138
390,385,900,2012-05-31,
391,926,416.67,2012-06-01,119
392,26,2500,2012-06-03,
393,399,375,2012-06-03,122
394,502,600,2012-06-04,
395,356,333.33,2012-06-05,135
396,604,2083.33,2012-06-06,100
397,82,1041.67,2012-06-07,139
398,690,2777.78,2012-06-09,140
399,46,300,2012-06-10,
400,465,125,2012-06-10,114
401,419,541.67,2012-06-13,130
402,152,200,2012-06-14,
403,528,83.33,2012-06-15,121
404,125,458.33,2012-06-17,141
405,526,2083.33,2012-06-18,110
406,865,2000,2012-06-18,
407,883,125,2012-06-19,131
408,255,416.67,2012-06-22,126
409,544,291.67,2012-06-23,136
410,915,2083.33,2012-06-23,109
411,677,1041.67,2012-06-24,127
412,939,416.67,2012-06-24,133
413,155,1458.33,2012-06-25,118
414,672,100,2012-06-25,
415,858,100,2012-06-25,
416,183,458.33,2012-06-27,134
417,260,100,2012-06-27,
418,67,416.67,2012-06-29,132
419,228,300,2012-06-30,
420,728,83.33,2012-06-30,138
421,851,833.33,2012-07-01,142
422,926,416.67,2012-07-01,119
423,148,1000,2012-07-02,
424,399,375,2012-07-03,122
425,356,333.33,2012-07-05,135
426,604,2083.33,2012-07-06,100
427,82,1041.67,2012-07-07,139
428,532,400,2012-07-07,
429,742,800,2012-07-07,
430,690,2777.78,2012-07-09,140
431,166,333.33,2012-07-11,143
432,419,541.67,2012-07-13,130
433,528,83.33,2012-07-15,121
434,125,458.33,2012-07-17,141
435,526,2083.33,2012-07-18,110
436,883,125,2012-07-19,131
437,369,583.33,2012-07-20,144
438,255,416.67,2012-07-22,126
439,544,291.67,2012-07-23,136
440,915,2083.33,2012-07-23,109
441,677,1041.67,2012-07-24,127
442,939,416.67,2012-07-24,133
443,155,1458.33,2012-07-25,118
444,614,100,2012-07-25,
445,183,458.33,2012-07-27,134
446,67,416.67,2012-07-29,132
447,725,300,2012-07-30,
448,728,83.33,2012-07-30,138
449,851,833.33,2012-08-01,142
450,926,416.67,2012-08-01,119
451,376,400,2012-08-02,145
452,399,375,2012-08-03,122
453,356,333.33,2012-08-05,135
454,604,2083.33,2012-08-06,100
455,82,1041.67,2012-08-07,139
456,690,2777.78,2012-08-09,140
457,934,200,2012-08-10,
458,166,333.33,2012-08-11,143
459,570,1041.67,2012-08-12,146
460,419,541.67,2012-08-13,130
461,528,83.33,2012-08-15,121
462,975,83.33,2012-08-16,147
463,125,458.33,2012-08-17,141
464,410,600,2012-08-17,
465,526,2083.33,2012-08-18,110
466,883,125,2012-08-19,131
467,369,583.33,2012-08-20,144
468,255,416.67,2012-08-22,126
469,544,291.67,2012-08-23,136
470,915,2083.33,2012-08-23,109
471,677,1041.67,2012-08-24,127
472,916,700,2012-08-24,
473,939,416.67,2012-08-24,133
474,183,458.33,2012-08-27,134
475,67,416.67,2012-08-29,132
476,728,83.33,2012-08-30,138
477,943,100,2012-08-30,
478,851,833.33,2012-09-01,142
479,926,416.67,2012-09-01,119
480,376,400,2012-09-02,145
481,399,375,2012-09-03,122
482,356,333.33,2012-09-05,135
483,604,2083.33,2012-09-06,100
484,82,1041.67,2012-09-07,139
485,25,100,2012-09-09,148
486,690,2777.78,2012-09-09,140
487,166,333.33,2012-09-11,143
488,570,1041.67,2012-09-12,146
489,419,541.67,2012-09-13,130
490,278,100,2012-09-14,
491,762,1250,2012-09-14,149
492,528,83.33,2012-09-15,121
493,975,83.33,2012-09-16,147
494,125,458.33,2012-09-17,141
495,526,2083.33,2012-09-18,110
496,883,125,2012-09-19,131
497,369,583.33,2012-09-20,144
498,434,833.33,2012-09-20,150
499,255,416.67,2012-09-22,126
500,683,800,2012-09-22,
501,544,291.67,2012-09-23,136
502,915,2083.33,2012-09-23,109
503,677,1041.67,2012-09-24,127
504,939,416.67,2012-09-24,133
505,575,2000,2012-09-25,
506,183,458.33,2012-09-27,134
507,67,416.67,2012-09-29,132
508,728,83.33,2012-09-30,138
509,851,833.33,2012-10-01,142
510,399,375,2012-10-03,122
511,356,333.33,2012-10-05,135
512,604,2083.33,2012-10-06,100
513,82,1041.67,2012-10-07,139
514,690,2777.78,2012-10-09,140
515,166,333.33,2012-10-11,143
516,153,900,2012-10-12,
517,570,1041.67,2012-10-12,146
518,419,541.67,2012-10-13,130
519,762,1250,2012-10-14,149
520,975,83.33,2012-10-16,147
521,125,458.33,2012-10-17,141
522,526,2083.33,2012-10-18,110
523,883,125,2012-10-19,131
524,369,583.33,2012-10-20,144
525,434,833.33,2012-10-20,150
526,255,416.67,2012-10-22,126
527,544,291.67,2012-10-23,136
528,915,2083.33,2012-10-23,109
529,677,1041.67,2012-10-24,127
530,939,416.67,2012-10-24,133
531,411,100,2012-10-25,
532,530,291.67,2012-10-25,151
533,183,458.33,2012-10-27,134
534,67,416.67,2012-10-29,132
535,728,83.33,2012-10-30,138
536,851,833.33,2012-11-01,142
537,552,125,2012-11-04,152
538,356,333.33,2012-11-05,135
539,392,100,2012-11-05,
540,604,2083.33,2012-11-06,100
541,681,300,2012-11-06,
542,82,1041.67,2012-11-07,139
543,172,100,2012-11-08,
544,684,833.33,2012-11-08,153
545,788,1041.67,2012-11-08,154
546,690,2777.78,2012-11-09,140
547,946,300,2012-11-09,
548,166,333.33,2012-11-11,143
549,173,350,2012-11-12,155
550,570,1041.67,2012-11-12,146
551,419,541.67,2012-11-13,130
552,762,1250,2012-11-14,149
553,975,83.33,2012-11-16,147
554,125,458.33,2012-11-17,141
555,526,2083.33,2012-11-18,110
556,883,125,2012-11-19,131
557,369,583.33,2012-11-20,144
558,434,833.33,2012-11-20,150
559,756,600,2012-11-20,
560,255,416.67,2012-11-22,126
561,544,291.67,2012-11-23,136
562,915,2083.33,2012-11-23,109
563,677,1041.67,2012-11-24,127
564,939,416.67,2012-11-24,133
565,530,291.67,2012-11-25,151
566,630,1458.33,2012-11-26,156
567,183,458.33,2012-11-27,134
568,67,416.67,2012-11-29,132
569,728,83.33,2012-11-30,138
570,851,833.33,2012-12-01,142
571,552,125,2012-12-04,152
572,356,333.33,2012-12-05,135
573,604,2083.33,2012-12-06,100
574,82,1041.67,2012-12-07,139
575,57,300,2012-12-08,157
576,684,833.33,2012-12-08,153
577,788,1041.67,2012-12-08,154
578,115,100,2012-12-09,
579,686,2083.33,2012-12-09,158
580,690,2777.78,2012-12-09,140
581,166,333.33,2012-12-11,143
582,252,300,2012-12-11,
583,173,350,2012-12-12,155
584,570,1041.67,2012-12-12,146
585,419,541.67,2012-12-13,130
586,762,1250,2012-12-14,149
587,257,1000,2012-12-15,
588,882,400,2012-12-15,159
589,975,83.33,2012-12-16,147
590,125,458.33,2012-12-17,141
591,526,2083.33,2012-12-18,110
592,883,125,2012-12-19,131
593,369,583.33,2012-12-20,144
594,434,833.33,2012-12-20,150
595,544,291.67,2012-12-23,136
596,915,2083.33,2012-12-23,109
597,939,416.67,2012-12-24,133
598,530,291.67,2012-12-25,151
599,107,541.67,2012-12-26,160
600,630,1458.33,2012-12-26,156
601,183,458.33,2012-12-27,134
602,67,416.67,2012-12-29,132
603,315,500,2012-12-30,
604,728,83.33,2012-12-30,138
605,851,833.33,2013-01-01,142
606,552,125,2013-01-04,152
607,800,2500,2013-01-04,
608,356,333.33,2013-01-05,135
609,84,458.33,2013-01-06,161
610,604,2083.33,2013-01-06,100
611,82,1041.67,2013-01-07,139
612,57,300,2013-01-08,157
613,606,100,2013-01-08,
614,684,833.33,2013-01-08,153
615,788,1041.67,2013-01-08,154
616,815,100,2013-01-08,
617,686,2083.33,2013-01-09,158
618,690,2777.78,2013-01-09,140
619,605,541.67,2013-01-10,162
620,166,333.33,2013-01-11,143
621,570,1041.67,2013-01-12,146
622,762,1250,2013-01-14,149
623,975,83.33,2013-01-16,147
624,125,458.33,2013-01-17,141
625,526,2083.33,2013-01-18,110
626,258,2083.33,2013-01-19,163
627,369,583.33,2013-01-20,144
628,434,833.33,2013-01-20,150
629,936,2777.78,2013-01-20,164
630,544,291.67,2013-01-23,136
631,915,2083.33,2013-01-23,109
632,657,500,2013-01-24,
633,939,416.67,2013-01-24,133
634,530,291.67,2013-01-25,151
635,107,541.67,2013-01-26,160
636,630,1458.33,2013-01-26,156
637,183,458.33,2013-01-27,134
638,44,100,2013-01-29,
639,728,83.33,2013-01-30,138
640,851,833.33,2013-02-01,142
641,552,125,2013-02-04,152
642,356,333.33,2013-02-05,135
643,84,458.33,2013-02-06,161
644,604,2083.33,2013-02-06,100
645,82,1041.67,2013-02-07,139
646,853,500,2013-02-07,165
647,684,833.33,2013-02-08,153
648,788,1041.67,2013-02-08,154
649,686,2083.33,2013-02-09,158
650,690,2777.78,2013-02-09,140
651,605,541.67,2013-02-10,162
652,166,333.33,2013-02-11,143
653,570,1041.67,2013-02-12,146
654,572,100,2013-02-12,
655,762,1250,2013-02-14,149
656,169,100,2013-02-15,
657,975,83.33,2013-02-16,147
658,125,458.33,2013-02-17,141
659,526,2083.33,2013-02-18,110
660,258,2083.33,2013-02-19,163
661,369,583.33,2013-02-20,144
662,434,833.33,2013-02-20,150
663,936,2777.78,2013-02-20,164
664,655,2083.33,2013-02-22,166
665,544,291.67,2013-02-23,136
666,915,2083.33,2013-02-23,109
667,530,291.67,2013-02-25,151
668,900,300,2013-02-25,
669,107,541.67,2013-02-26,160
670,630,1458.33,2013-02-26,156
671,183,458.33,2013-02-27,134
672,728,83.33,2013-02-28,138
673,851,833.33,2013-03-01,142
674,552,125,2013-03-04,152
675,356,333.33,2013-03-05,135
676,84,458.33,2013-03-06,161
677,604,2083.33,2013-03-06,100
678,82,1041.67,2013-03-07,139
679,684,833.33,2013-03-08,153
680,788,1041.67,2013-03-08,154
681,686,2083.33,2013-03-09,158
682,690,2777.78,2013-03-09,140
683,313,100,2013-03-10,
684,605,541.67,2013-03-10,162
685,166,333.33,2013-03-11,143
686,570,1041.67,2013-03-12,146
687,112,2777.78,2013-03-13,167
688,192,800,2013-03-13,
689,547,1250,2013-03-13,168
690,762,1250,2013-03-14,149
691,975,83.33,2013-03-16,147
692,125,458.33,2013-03-17,141
693,526,2083.33,2013-03-18,110
694,258,2083.33,2013-03-19,163
695,369,583.33,2013-03-20,144
696,434,833.33,2013-03-20,150
697,936,2777.78,2013-03-20,164
698,359,500,2013-03-21,
699,655,2083.33,2013-03-22,166
700,544,291.67,2013-03-23,136
701,915,2083.33,2013-03-23,109
702,530,291.67,2013-03-25,151
703,107,541.67,2013-03-26,160
704,630,1458.33,2013-03-26,156
705,728,83.33,2013-03-30,138
706,851,833.33,2013-04-01,142
707,145,500,2013-04-02,
708,552,125,2013-04-04,152
709,84,458.33,2013-04-06,161
710,604,2083.33,2013-04-06,100
711,82,1041.67,2013-04-07,139
712,367,2083.33,2013-04-07,169
713,684,833.33,2013-04-08,153
714,788,1041.67,2013-04-08,154
715,342,200,2013-04-09,
716,686,2083.33,2013-04-09,158
717,690,2777.78,2013-04-09,140
718,605,541.67,2013-04-10,162
719,166,333.33,2013-04-11,143
720,570,1041.67,2013-04-12,146
721,112,2777.78,2013-04-13,167
722,547,1250,2013-04-13,168
723,446,600,2013-04-14,
724,762,1250,2013-04-14,149
725,975,83.33,2013-04-16,147
726,125,458.33,2013-04-17,141
727,526,2083.33,2013-04-18,110
728,258,2083.33,2013-04-19,163
729,498,333.33,2013-04-19,170
730,369,583.33,2013-04-20,144
731,434,833.33,2013-04-20,150
732,936,2777.78,2013-04-20,164
733,539,900,2013-04-22,
734,655,2083.33,2013-04-22,166
735,544,291.67,2013-04-23,136
736,915,2083.33,2013-04-23,109
737,718,700,2013-04-24,
738,354,100,2013-04-25,
739,501,400,2013-04-25,
740,530,291.67,2013-04-25,151
741,107,541.67,2013-04-26,160
742,630,1458.33,2013-04-26,156
743,246,500,2013-04-27,
744,728,83.33,2013-04-30,138
745,851,833.33,2013-05-01,142
746,962,100,2013-05-01,
747,818,541.67,2013-05-03,171
748,552,125,2013-05-04,152
749,84,458.33,2013-05-06,161
750,604,2083.33,2013-05-06,100
751,82,1041.67,2013-05-07,139
752,89,2500,2013-05-07,
753,367,2083.33,2013-05-07,169
754,440,1458.33,2013-05-08,172
755,684,833.33,2013-05-08,153
756,788,1041.67,2013-05-08,154
757,686,2083.33,2013-05-09,158
758,690,2777.78,2013-05-09,140
759,605,541.67,2013-05-10,162
760,166,333.33,2013-05-11,143
761,570,1041.67,2013-05-12,146
762,112,2777.78,2013-05-13,167
763,547,1250,2013-05-13,168
764,762,1250,2013-05-14,149
765,739,100,2013-05-16,
766,975,83.33,2013-05-16,147
767,125,458.33,2013-05-17,141
768,526,2083.33,2013-05-18,110
769,258,2083.33,2013-05-19,163
770,498,333.33,2013-05-19,170
771,369,583.33,2013-05-20,144
772,434,833.33,2013-05-20,150
773,936,2777.78,2013-05-20,164
774,189,300,2013-05-22,
775,655,2083.33,2013-05-22,166
776,915,2083.33,2013-05-23,109
777,530,291.67,2013-05-25,151
778,107,541.67,2013-05-26,160
779,630,1458.33,2013-05-26,156
780,876,200,2013-05-26,
781,626,700,2013-06-01,
782,851,833.33,2013-06-01,142
783,754,450,2013-06-02,173
784,818,541.67,2013-06-03,171
785,552,125,2013-06-04,152
786,84,458.33,2013-06-06,161
787,604,2083.33,2013-06-06,100
788,757,350,2013-06-06,174
789,82,1041.67,2013-06-07,139
790,367,2083.33,2013-06-07,169
791,440,1458.33,2013-06-08,172
792,684,833.33,2013-06-08,153
793,788,1041.67,2013-06-08,154
794,686,2083.33,2013-06-09,158
795,690,2777.78,2013-06-09,140
796,357,100,2013-06-10,
797,605,541.67,2013-06-10,162
798,166,333.33,2013-06-11,143
799,570,1041.67,2013-06-12,146
800,112,2777.78,2013-06-13,167
801,547,1250,2013-06-13,168
802,762,1250,2013-06-14,149
803,913,100,2013-06-16,
804,975,83.33,2013-06-16,147
805,98,800,2013-06-17,
806,526,2083.33,2013-06-18,110
807,258,2083.33,2013-06-19,163
808,498,333.33,2013-06-19,170
809,56,400,2013-06-20,175
810,369,583.33,2013-06-20,144
811,434,833.33,2013-06-20,150
812,936,2777.78,2013-06-20,164
813,655,2083.33,2013-06-22,166
814,915,2083.33,2013-06-23,109
815,79,100,2013-06-25,
816,530,291.67,2013-06-25,151
817,107,541.67,2013-06-26,160
818,630,1458.33,2013-06-26,156
819,78,3000,2013-06-27,
820,754,450,2013-07-02,173
821,818,541.67,2013-07-03,171
822,552,125,2013-07-04,152
823,84,458.33,2013-07-06,161
824,604,2083.33,2013-07-06,100
825,757,350,2013-07-06,174
826,82,1041.67,2013-07-07,139
827,367,2083.33,2013-07-07,169
828,440,1458.33,2013-07-08,172
829,684,833.33,2013-07-08,153
830,788,1041.67,2013-07-08,154
831,686,2083.33,2013-07-09,158
832,690,2777.78,2013-07-09,140
833,605,541.67,2013-07-10,162
834,570,1041.67,2013-07-12,146
835,112,2777.78,2013-07-13,167
836,547,1250,2013-07-13,168
837,762,1250,2013-07-14,149
838,214,900,2013-07-16,
839,975,83.33,2013-07-16,147
840,526,2083.33,2013-07-18,110
841,258,2083.33,2013-07-19,163
842,498,333.33,2013-07-19,170
843,434,833.33,2013-07-20,150
844,936,2777.78,2013-07-20,164
845,655,2083.33,2013-07-22,166
846,915,2083.33,2013-07-23,109
847,530,291.67,2013-07-25,151
848,107,541.67,2013-07-26,160
